127.0.0.1 - - [19/Jun/2023:14:09:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:09:33 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 500 2718
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:09:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:10:05 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:10:08 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=2 HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:10:09 +0900] "GET /jsp_project/board/board1List.jsp?viewPage=1 HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:18:10 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:33:59 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:34:01 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:34:13 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:34:45 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:34:46 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:34:47 +0900] "GET /jsp_project/board/board1Details.jsp?unq=1 HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:35:20 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:14:35:22 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:22:58 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:23:14 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:23:22 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:25:33 +0900] "GET /jsp_project/board/board1Detail.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:25:35 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:25:36 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 500 3634
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:27:35 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:27:37 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 500 3521
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:27:57 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:28:19 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:28:20 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:31:37 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:31:38 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 500 3286
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:33:56 +0900] "GET /jsp_project/board/board1Detail.jsp HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:33:57 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:15:33:58 +0900] "GET /jsp_project/board/board1Detail.jsp?unq=1 HTTP/1.1" 200 1567
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:06 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1630
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:09 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:13 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:14 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:14 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:18 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:19 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:19 +0900] "GET /jsp_project/board/board1Write.jsp HTTP/1.1" 200 2190
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:23 +0900] "POST /jsp_project/board/board1WriteSave.jsp HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [19/Jun/2023:16:38:24 +0900] "GET /jsp_project/board/board1List.jsp HTTP/1.1" 200 2224
